Time,Value
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,24
23:05:33.621.828,150
23:05:33.621.828,242
23:05:33.621.828,194
23:05:33.621.828,65
23:05:33.621.828,191
23:05:33.621.828,169
23:05:33.621.828,69
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,192
23:05:33.621.828,91
23:05:33.621.828,32
23:05:33.621.828,43
23:05:33.621.828,198
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,127
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,36
23:05:33.621.828,150
23:05:33.621.828,242
23:05:33.621.828,194
23:05:33.621.828,61
23:05:33.621.828,191
23:05:33.621.828,169
23:05:33.621.828,69
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,192
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,127
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,252
23:05:33.621.828,158
23:05:33.621.828,242
23:05:33.621.828,194
23:05:33.621.828,24
23:05:33.621.828,188
23:05:33.621.828,169
23:05:33.621.828,69
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,192
23:05:33.621.828,244
23:05:33.621.828,33
23:05:33.621.828,43
23:05:33.621.828,198
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,127
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,125
23:05:33.621.828,167
23:05:33.621.828,242
23:05:33.621.828,194
23:05:33.621.828,18
23:05:33.621.828,185
23:05:33.621.828,169
23:05:33.621.828,69
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,192
23:05:33.621.828,122
23:05:33.621.828,35
23:05:33.621.828,43
23:05:33.621.828,198
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,127
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,223
23:05:33.621.828,167
23:05:33.621.828,242
23:05:33.621.828,194
23:05:33.621.828,239
23:05:33.621.828,184
23:05:33.621.828,169
23:05:33.621.828,69
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,192
23:05:33.621.828,133
23:05:33.621.828,35
23:05:33.621.828,43
23:05:33.621.828,198
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,192
23:05:33.621.828,0
23:05:33.621.828,37
23:05:33.621.828,43
23:05:33.621.828,198
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,127
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,170
23:05:33.621.828,176
23:05:33.621.828,242
23:05:33.621.828,194
23:05:33.621.828,207
23:05:33.621.828,181
23:05:33.621.828,169
23:05:33.621.828,69
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,192
23:05:33.621.828,27
23:05:33.621.828,37
23:05:33.621.828,43
23:05:33.621.828,198
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,127
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,20
23:05:33.621.828,184
23:05:33.621.828,242
23:05:33.621.828,194
23:05:33.621.828,44
23:05:33.621.828,179
23:05:33.621.828,169
23:05:33.621.828,69
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,192
23:05:33.621.828,110
23:05:33.621.828,38
23:05:33.621.828,43
23:05:33.621.828,198
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,127
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,211
23:05:33.621.828,183
23:05:33.621.828,242
23:05:33.621.828,194
23:05:33.621.828,67
23:05:33.621.828,179
23:05:33.621.828,169
23:05:33.621.828,69
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,157
23:05:33.621.828,195
23:05:33.621.828,180
23:05:33.621.828,193
23:05:33.621.828,242
23:05:33.621.828,194
23:05:33.621.828,192
23:05:33.621.828,175
23:05:33.621.828,169
23:05:33.621.828,69
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,192
23:05:33.621.828,36
23:05:33.621.828,40
23:05:33.621.828,43
23:05:33.621.828,198
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,0
23:05:33.621.828,128
23:05:33.621.828,127
