Time,Value
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-121.29315185546875
23:05:33.621.828,5431.90673828125
23:05:33.621.828,-2.0
23:05:33.621.828,-10952.0888671875
23:05:33.621.828,0.0
23:05:33.621.828,0.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-121.29324340820312
23:05:33.621.828,5431.90478515625
23:05:33.621.828,-2.0
23:05:33.621.828,0.0
23:05:33.621.828,0.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-121.31051635742188
23:05:33.621.828,5431.51171875
23:05:33.621.828,-2.0
23:05:33.621.828,-10952.48828125
23:05:33.621.828,0.0
23:05:33.621.828,0.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-121.3271255493164
23:05:33.621.828,5431.1337890625
23:05:33.621.828,-2.0
23:05:33.621.828,-10952.869140625
23:05:33.621.828,0.0
23:05:33.621.828,0.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-121.32787322998047
23:05:33.621.828,5431.11669921875
23:05:33.621.828,-2.0
23:05:33.621.828,-10952.8798828125
23:05:33.621.828,-2.0
23:05:33.621.828,-10953.25
23:05:33.621.828,0.0
23:05:33.621.828,0.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-121.34504699707031
23:05:33.621.828,5430.72607421875
23:05:33.621.828,-2.0
23:05:33.621.828,-10953.2763671875
23:05:33.621.828,0.0
23:05:33.621.828,0.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-121.35952758789062
23:05:33.621.828,5430.396484375
23:05:33.621.828,-2.0
23:05:33.621.828,-10953.607421875
23:05:33.621.828,0.0
23:05:33.621.828,0.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-121.3590316772461
23:05:33.621.828,5430.40771484375
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-121.37832641601562
23:05:33.621.828,5429.96875
23:05:33.621.828,-2.0
23:05:33.621.828,-10954.03515625
23:05:33.621.828,0.0
23:05:33.621.828,0.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-10954.4736328125
23:05:33.621.828,0.0
23:05:33.621.828,0.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-121.39851379394531
23:05:33.621.828,5429.50927734375
23:05:33.621.828,-2.0
23:05:33.621.828,-10954.4921875
23:05:33.621.828,0.0
23:05:33.621.828,0.0
23:05:33.621.828,5429.1611328125
23:05:33.621.828,-2.0
23:05:33.621.828,-10954.841796875
23:05:33.621.828,0.0
23:05:33.621.828,0.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-121.4144287109375
23:05:33.621.828,5429.1474609375
23:05:33.621.828,-2.0
23:05:33.621.828,-10954.8515625
23:05:33.621.828,0.0
23:05:33.621.828,0.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-121.4300537109375
23:05:33.621.828,5428.79150390625
23:05:33.621.828,-2.0
23:05:33.621.828,-10955.2109375
23:05:33.621.828,0.0
23:05:33.621.828,0.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-121.43122863769531
23:05:33.621.828,-2.0
23:05:33.621.828,-10955.58984375
23:05:33.621.828,0.0
23:05:33.621.828,0.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-315.0
23:05:33.621.828,-121.44685363769531
23:05:33.621.828,5428.4091796875
23:05:33.621.828,-2.0
23:05:33.621.828,-10955.58984375
23:05:33.621.828,0.0
23:05:33.621.828,0.0
23:05:33.621.828,-2.0
23:05:33.621.828,-10955.9375
23:05:33.621.828,0.0
23:05:33.621.828,0.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-121.4622802734375
23:05:33.661.934,5428.05810546875
23:05:33.661.934,-2.0
23:05:33.661.934,-10955.9501953125
23:05:33.661.934,0.0
23:05:33.661.934,-121.48141479492188
23:05:33.661.934,5427.623046875
23:05:33.661.934,-2.0
23:05:33.661.934,-10956.376953125
23:05:33.661.934,0.0
23:05:33.661.934,0.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-121.48251342773438
23:05:33.661.934,5427.59814453125
23:05:33.661.934,-2.0
23:05:33.661.934,-10956.4091796875
23:05:33.661.934,0.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-121.49674224853516
23:05:33.661.934,5427.2744140625
23:05:33.661.934,-2.0
23:05:33.661.934,-10956.7255859375
23:05:33.661.934,0.0
23:05:33.661.934,0.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,5426.95556640625
23:05:33.661.934,-2.0
23:05:33.661.934,-10957.05078125
23:05:33.661.934,0.0
23:05:33.661.934,0.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-121.5123062133789
23:05:33.661.934,5426.919921875
23:05:33.661.934,-2.0
23:05:33.661.934,-10957.0859375
23:05:33.661.934,0.0
23:05:33.661.934,0.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-121.527099609375
23:05:33.661.934,5426.58349609375
23:05:33.661.934,-2.0
23:05:33.661.934,-10957.427734375
23:05:33.661.934,0.0
23:05:33.661.934,0.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-121.52842712402344
23:05:33.661.934,-2.0
23:05:33.661.934,-10957.81640625
23:05:33.661.934,0.0
23:05:33.661.934,0.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-121.54440307617188
23:05:33.661.934,5426.189453125
23:05:33.661.934,-2.0
23:05:33.661.934,-10957.82421875
23:05:33.661.934,0.0
23:05:33.661.934,0.0
23:05:33.661.934,-2.0
23:05:33.661.934,-10958.19140625
23:05:33.661.934,0.0
23:05:33.661.934,0.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-121.56167602539062
23:05:33.661.934,5425.79638671875
23:05:33.661.934,-2.0
23:05:33.661.934,-10958.20703125
23:05:33.661.934,0.0
23:05:33.661.934,-121.57859802246094
23:05:33.661.934,5425.41162109375
23:05:33.661.934,-2.0
23:05:33.661.934,-10958.6015625
23:05:33.661.934,0.0
23:05:33.661.934,0.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-121.5798568725586
23:05:33.661.934,5425.3828125
23:05:33.661.934,-2.0
23:05:33.661.934,-10958.611328125
23:05:33.661.934,0.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-121.59629821777344
23:05:33.661.934,5425.0087890625
23:05:33.661.934,-2.0
23:05:33.661.934,-10958.990234375
23:05:33.661.934,0.0
23:05:33.661.934,0.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,5424.62939453125
23:05:33.661.934,-2.0
23:05:33.661.934,-10959.3681640625
23:05:33.661.934,0.0
23:05:33.661.934,0.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-121.61172485351562
23:05:33.661.934,5424.65771484375
23:05:33.661.934,-2.0
23:05:33.661.934,-10959.3515625
23:05:33.661.934,0.0
23:05:33.661.934,0.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-121.62615203857422
23:05:33.661.934,5424.3291015625
23:05:33.661.934,-2.0
23:05:33.661.934,-10959.685546875
23:05:33.661.934,0.0
23:05:33.661.934,0.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
23:05:33.661.934,-315.0
